epoch	train_loss	val_loss	val_mIoU	val_OA
1	1.132180	7.438881	0.051934	0.269233
2	0.668675	1.559062	0.122243	0.539419
3	0.569259	1.222042	0.199467	0.635136
4	0.504929	1.206732	0.207891	0.667752
5	0.549436	0.575144	0.447462	0.833870
6	0.472490	0.520575	0.430798	0.799117
7	0.436889	0.876720	0.234146	0.704566
8	0.417156	0.387091	0.476947	0.866054
9	0.398263	0.744350	0.411458	0.722715
10	0.367933	0.408482	0.496496	0.853138
11	0.353634	0.392974	0.519074	0.862708
12	0.385945	0.713092	0.351095	0.788218
13	0.364737	1.084558	0.256612	0.645070
14	0.359098	0.400971	0.561753	0.859831
15	0.415659	1.014060	0.287753	0.587490
16	0.355125	1.235991	0.144481	0.388348
17	0.358097	0.529466	0.470716	0.810212
18	0.379225	0.911239	0.276373	0.686039
19	0.387128	1.120495	0.326862	0.665970
20	0.366013	0.459751	0.508300	0.830464
21	0.371551	0.490951	0.500156	0.823344
22	0.368830	0.764283	0.415251	0.828418
23	0.339751	0.516088	0.479460	0.831093
24	0.321447	0.482406	0.479250	0.826234
25	0.321663	0.367743	0.575706	0.872180
26	0.326093	0.451158	0.542633	0.846703
27	0.330873	0.656957	0.477517	0.742737
28	0.345958	1.559087	0.382208	0.600999
29	0.346125	0.398728	0.729189	0.879426
30	0.298941	0.450265	0.642156	0.851143
31	0.290698	0.458174	0.654986	0.838046
32	0.312803	0.450601	0.601789	0.843220
33	0.298414	0.446131	0.700457	0.820191
34	0.300961	0.309800	0.753339	0.898975
35	0.318163	0.728544	0.565215	0.768773
36	0.304508	0.398137	0.698952	0.868949
37	0.302121	0.565064	0.562524	0.806758
38	0.286537	0.796516	0.547621	0.770731
39	0.293690	0.410298	0.616834	0.847850
40	0.281524	0.333178	0.728577	0.872389
41	0.286565	0.359311	0.705657	0.876059
42	0.285694	0.294278	0.754960	0.903079
43	0.273714	0.704441	0.587508	0.750483
44	0.262722	0.755040	0.571147	0.783299
45	0.265063	0.556076	0.649656	0.815378
46	0.277116	0.345518	0.662959	0.881088
47	0.257071	0.391710	0.731101	0.856990
48	0.282432	0.335878	0.733177	0.893007
49	0.260553	0.296033	0.762858	0.899430
50	0.263461	0.302654	0.771218	0.903235
51	0.246716	0.323292	0.762543	0.898704
52	0.238172	0.293426	0.764160	0.901826
53	0.235414	0.280717	0.780000	0.910284
54	0.247647	0.277179	0.779521	0.908859
55	0.234280	0.320614	0.767765	0.902635
56	0.234968	0.277965	0.771503	0.910603
57	0.242369	0.395273	0.732874	0.871583
58	0.242823	0.295769	0.758615	0.903139
59	0.257260	0.334579	0.746493	0.890772
60	0.242119	0.284446	0.775967	0.908177
61	0.239386	0.318450	0.720896	0.901320
62	0.225135	0.340602	0.727088	0.891493
63	0.222690	0.391909	0.708241	0.876646
64	0.219059	0.296870	0.770432	0.907561
65	0.218426	0.306034	0.776217	0.905387
66	0.223122	0.301995	0.773069	0.902585
67	0.239868	0.294404	0.777106	0.896653
68	0.230848	0.300085	0.775128	0.905952
69	0.222008	0.305901	0.770464	0.906937
70	0.225150	0.296281	0.779890	0.909861
71	0.209934	0.288761	0.782614	0.910428
72	0.213076	0.285540	0.781403	0.908154
73	0.217556	0.301934	0.776453	0.906894
74	0.209260	0.320878	0.764722	0.902754
75	0.216872	0.310664	0.776083	0.903398
76	0.198884	0.311249	0.775703	0.900452
77	0.202329	0.297739	0.782578	0.909971
78	0.199912	0.306545	0.775413	0.908665
79	0.193978	0.310912	0.777303	0.907959
80	0.192976	0.330604	0.766535	0.896863
81	0.196427	0.306291	0.778758	0.905288
82	0.203791	0.313677	0.779577	0.904897
83	0.196866	0.293532	0.783754	0.910577
84	0.192218	0.318649	0.778272	0.904600
85	0.183522	0.309284	0.782512	0.909399
86	0.181914	0.306277	0.780739	0.909068
87	0.180372	0.307845	0.779457	0.907684
88	0.180519	0.313715	0.779780	0.907569
89	0.175319	0.313665	0.781969	0.909465
90	0.190307	0.318517	0.776115	0.904982
91	0.170422	0.318603	0.776366	0.904737
92	0.185820	0.313022	0.778611	0.906565
93	0.175681	0.314312	0.778949	0.906969
94	0.180169	0.312076	0.779658	0.908211
95	0.171925	0.314952	0.779071	0.907829
96	0.173753	0.316274	0.779080	0.908010
97	0.171217	0.318446	0.778886	0.907983
98	0.180016	0.315641	0.779046	0.907817
99	0.168636	0.318125	0.778783	0.907551
100	0.169922	0.316777	0.779231	0.908021
1	1.128361	19.560863	0.060818	0.288775
2	0.629863	1.481808	0.134436	0.553473
3	0.550091	1.423781	0.188951	0.616353
4	0.481477	1.345879	0.254484	0.638511
5	0.518043	0.815285	0.298351	0.738221
6	0.453333	0.573569	0.429980	0.806902
7	0.432124	0.708690	0.411802	0.774516
8	0.395061	0.465007	0.451447	0.846934
9	0.379069	1.115588	0.332016	0.619317
10	0.364357	0.508047	0.433167	0.827698
11	0.354409	0.973237	0.304985	0.726477
12	0.372612	0.714888	0.354955	0.786839
13	0.343597	0.570535	0.399577	0.765452
14	0.335349	0.496404	0.518212	0.813420
15	0.398276	0.369561	0.691695	0.882479
16	0.313422	0.899763	0.484167	0.751056
17	0.322473	0.414240	0.660584	0.876562
18	0.334793	0.378255	0.677974	0.879903
19	0.332292	0.551531	0.621219	0.823794
20	0.315552	0.305949	0.729907	0.898049
21	0.338019	0.290331	0.743716	0.904613
22	0.309613	0.309446	0.696944	0.896103
23	0.296230	0.614546	0.621094	0.817361
24	0.279281	0.282074	0.755908	0.904455
25	0.281429	0.283806	0.758320	0.901880
26	0.294819	0.284637	0.759575	0.903024
27	0.294054	0.303734	0.719549	0.901049
28	0.296168	0.444492	0.627612	0.873471
29	0.289581	0.346421	0.697662	0.892092
30	0.266957	0.396011	0.701782	0.872337
31	0.264309	0.282189	0.765408	0.908120
32	0.291113	0.305547	0.758756	0.896786
33	0.278579	0.279335	0.777859	0.907902
34	0.287180	0.290268	0.761177	0.902776
35	0.279126	0.491460	0.688892	0.859157
36	0.278419	0.296027	0.766952	0.900104
37	0.267279	0.278737	0.769466	0.907804
38	0.252096	0.292169	0.761220	0.902532
39	0.257376	0.294509	0.767612	0.900924
40	0.251107	0.282238	0.761855	0.902613
41	0.258001	0.310515	0.762898	0.900948
42	0.253403	0.301639	0.764553	0.901593
43	0.252469	0.282153	0.771411	0.906515
44	0.236489	0.288256	0.772656	0.907375
45	0.239568	0.289530	0.770374	0.906860
46	0.255941	0.282256	0.771643	0.906476
47	0.234659	0.280785	0.770382	0.905922
48	0.250473	0.278515	0.772559	0.907458
49	0.237052	0.279048	0.773102	0.907584
50	0.250683	0.278784	0.773418	0.907784
1	1.116807	16.481963	0.044354	0.251784
2	0.654035	1.358635	0.181184	0.609259
3	0.559113	1.435721	0.162677	0.577748
4	0.502198	1.336761	0.175934	0.597919
5	0.517260	0.628191	0.356454	0.788858
6	0.450112	0.450286	0.450790	0.844540
7	0.423943	0.431407	0.490252	0.860409
8	0.415428	0.422949	0.498899	0.861305
9	0.398973	0.402152	0.500644	0.865720
10	0.383325	0.387543	0.523269	0.869735
1	1.133467	1.776858	0.130069	0.438570
2	0.646581	1.426127	0.121989	0.539260
3	0.562507	1.359638	0.192397	0.627506
4	0.501010	1.145115	0.237570	0.656251
5	0.519743	0.614117	0.340240	0.778187
6	0.456629	0.483019	0.455637	0.836729
1	1.130910	5.029678	0.080128	0.359673
2	0.650027	1.469496	0.141884	0.556762
3	0.565399	1.298846	0.197833	0.621301
4	0.503703	1.052443	0.268505	0.674042
5	0.514256	0.738227	0.272724	0.725297
6	0.448584	0.497700	0.457139	0.835563
7	0.421618	0.381005	0.520049	0.872531
8	0.426374	0.377825	0.535204	0.874989
9	0.398817	0.383688	0.520268	0.871957
10	0.387919	0.380693	0.532648	0.873345
1	1.122992	42.637026	0.090540	0.508524
2	0.653173	1.414169	0.120089	0.538135
3	0.581283	1.334953	0.194464	0.630719
4	0.516071	1.163670	0.179088	0.615053
5	0.527592	0.635900	0.374048	0.797091
6	0.464964	0.533774	0.423013	0.810092
7	0.433052	0.423335	0.472206	0.854952
8	0.427681	0.389770	0.500943	0.870739
9	0.407600	0.380710	0.510971	0.872929
10	0.390198	0.369419	0.526432	0.875985
1	1.123908	8.162566	0.098077	0.499780
2	0.650651	1.623974	0.099337	0.523853
3	0.566959	1.316648	0.188276	0.621498
4	0.505926	1.557880	0.115497	0.542000
5	0.531571	0.719266	0.388675	0.774512
6	0.456534	0.542247	0.426459	0.805468
7	0.437479	0.405224	0.479786	0.863141
8	0.429251	0.389037	0.487653	0.867958
9	0.403412	0.385329	0.496415	0.867182
10	0.392529	0.378081	0.500632	0.869063
1	1.132107	2.543815	0.118800	0.534527
2	0.653459	1.421749	0.142290	0.558452
3	0.562854	1.296526	0.195298	0.629783
4	0.494806	1.004298	0.231724	0.677109
5	0.522727	0.540165	0.420095	0.810471
6	0.459953	0.705267	0.426953	0.773111
7	0.442201	0.436272	0.533993	0.863429
8	0.410490	0.390710	0.515323	0.863863
9	0.395880	0.523221	0.480627	0.830654
10	0.363924	0.362580	0.564539	0.873220
11	0.363987	0.387703	0.586564	0.872256
12	0.382277	0.418762	0.531086	0.846806
13	0.358040	0.535081	0.516246	0.784169
14	0.351805	0.745281	0.408711	0.712299
15	0.386976	0.769704	0.408188	0.720321
16	0.321667	0.869244	0.484003	0.785911
17	0.323714	0.350074	0.722345	0.892358
18	0.333130	0.323634	0.750495	0.898998
19	0.348288	0.326067	0.727949	0.898091
20	0.361767	0.858057	0.507693	0.788888
21	0.383790	12.082182	0.100629	0.516552
22	0.410481	8.248036	0.218125	0.664140
23	0.364661	2.137567	0.289004	0.398389
24	0.334503	0.906126	0.440899	0.596131
25	0.326653	0.318146	0.749852	0.898615
